"id","label","x","y"
50371,"Summus Pyreneus (West)",43.02,-1.324
50336,"Salona",43.54,16.483
50353,"Side",36.776,31.398
50362,"Sitifis",36.237,5.41
50363,"Smyrna",38.25,27.25
50377,"Tarentum",40.469,17.24
50378,"Tarracina",41.291,13.249
50380,"Tarsus",36.916,34.901
50389,"Thessalonica",40.626,22.956
50396,"Tingi",35.788,-5.81
50305,"Philippi",41.014,24.283
50334,"Saldae",36.74,5.058
50335,"Salernum",40.678,14.766
50238,"Lugdunum Cananefatium",52.161,4.49
50345,"Scodra",42.074,19.528
50349,"Senia",44.99,14.901
50354,"Siga",35.24,-1.455
50357,"Sinuessa",41.25,14.25
50358,"Sipontum",41.607,15.896
50368,"Sufasar",36.192,2.515
50383,"Tergeste",45.649,13.772
50386,"Thebae",38.322,23.319
50138,"Cyrene",32.823,21.857
50300,"Pergamum",39.131,27.185
50050,"Athenae",38.032,23.655
50282,"Oescus",43.698,24.482
50088,"Burdigala",44.837,-0.577
50045,"Arupium",44.849,15.269
50109,"Casinum",41.493,13.831
50205,"Interpromium",42.244,13.934
50104,"Capua",41.086,14.25
50113,"Caudium",41.064,14.641
50217,"Kellis",25.549,28.908
50281,"Oea",32.898,13.175
50320,"Ptolemais",32.708,20.951
50246,"Mampsoukrenai",37.073,34.886
50007,"Aeclanum",41.043,14.994
50143,"Delphi",38.482,22.498
50245,"Magnesia",37.853,27.533
50033,"Aquae Terebellicae",43.733,-1.06
50522,"Aufidus",41.36,16.21
50765,"x",,
50727,"x",,
50738,"x",,
50730,"x",,
50731,"x",,
50732,"x",,
50733,"x",,
50735,"x",,
50736,"x",,
50737,"x",,
50739,"x",,
50744,"Toletum",,
50745,"x",,
50746,"x",,
50741,"Krane",,
50755,"Selinous",,
50742,"Horreum Margi",,
50743,"Boiodurum",,
50037,"Arausio",44.138,4.81
50434,"Vorgium",0,0
50459,"Divodurum",0,0
50460,"Condate",0,0
50473,"Maiensis Statio",0,0
50443,"Phiara",0,0
50630,"Pedalion Pr.",34.96,34.08
50747,"x",,
50748,"x",,
50452,"Paphos",0,0
50678,"Mothis",0,0
50470,"Salmantica",0,0
50613,"Rhodos",36.44,28.23
50619,"Prusias",40.4325,29.1564
50337,"Samarobriva",49.892,2.299
50461,"Rotomagus",0,0
50553,"Petras Mikros",32.17,23.45
50568,"Petras Megas",31.75,25.09
50618,"Salsovia",45.0665,29.124
50609,"Proconnesus",40.5917,27.5557
50642,"Pyramos (river)",36.57,35.56
50757,"x",,
50471,"Segedunum",0,0
50760,"x",,
50759,"Mouth of Witham",,
50761,"Populonium",,
50762,"Palinurus Pr.",,
50444,"Augustonemetum",0,0
50586,"Tenedos",39.82,26.03
50749,"x",,
50750,"x",,
50751,"x",,
50752,"x",,
50753,"x",,
50754,"x",,
50466,"Lamia",0,0
